,
7567,
7497,
7450,
7405,
7459,
7628,
7462,
7468,
7757,
7501,
7532,
7442,
7421,
7554,
7445,
8024,
7783,
7478,
7768,
7881,
8055,
8177,
7891,
7839,
7862,
7756,
7948,
7872,
7977,
7797,
7803,
7801,
7877,
7860,
8085,
7866,
7877,
7856,
7736,
7809,
7916,
7872,
7854,
7886,
7932,
7858,
7875,
7840,
7922,
7807,
7847,
7832,
7880,
7813,
7949,
7804,
7901,
7941,
7750,
7923,
7810,
7948,
7865,
7766,
7866,
7881,
7903,
7834,
7965,
7835,
7925,
7835,
7923,
8218,
8714,
8030,
7952,
7960,
7874,
7974,
8229,
8510,
8170,
8016,
7885,
7934,
7904,
7870,
7771,
7856,
7942,
7816,
7824,
7811,
7947,
7825,
7831,
7840,
7839,
7848,
7893,
7842,
7849,
7844,
7735,
7779,
7922,
7996,
7766,
7777,
7791,
7902,
7967,
8020,
7985,
7911,
8220,
8434,
8219,
7860,
7953,
7831,
8062,
8015,
8039,
7948,
7896,
7934,
8019,
7900,
7898,
7820,
7852,
7885,
7963,
7829,
7938,
8071,
8164,
8008,
8210,
7902,
8559,
7897,
16701,
18639,
7456,
7726,
7868,
8012,
7879,
8181,
7811,
7843,
8202,
7829,
8050,
7908,
7885,
7860,
7842,
7869,
7936,
7858,
7963,
7980,
7844,
7973,
7889,
7883,
7891,
7894,
7920,
7815,
8010,
7966,
7853,
8119,
8679,
8280,
8262,
7948,
7966,
8027,
7966,
8024,
7904,
8023,
8048,
7951,
7915,
8109,
7940,
7970,
7929,
8025,
8190,
8090,
8105,
7845,
8132,
7867,
7903,
8016,
7999,
7993,
8190,
7865,
8091,
7949,
8094,
7873,
8113,
7867,
7983,
8202,
8087,
8036,
7874,
8007,
7845,
8027,
7953,
7831,
7903,
7884,
8355,
16309,
18646,
7625,
8079,
8065,
8246,
8186,
7921,
7829,
7873,
7930,
7914,
7984,
8074,
7917,
7840,
8030,
7854,
7841,
8136,
8053,
7769,
7962,
7936,
8002,
7993,
7808,
7799,
7894,
7864,
8080,
7816,
7958,
7867,
7908,
8043,
7827,
7838,
8319,
7937,
7753,
8050,
7862,
7815,
8010,
8224,
7860,
7861,
7794,
7880,
7984,
7838,
7987,
7881,
7856,
7789,
8000,
7736,
7919,
7807,
8114,
8019,
7967,
8058,
8054,
8018,
8136,
7886,
7925,
7949,
14486,
19964,
12979,
7639,
7898,
7973,
8036,
7845,
7970,
7873,
8102,
8247,
7968,
8000,
7895,
7900,
7827,
8209,
7916,
7859,
8282,
7812,
7955,
8172,
8186,
8132,
8238,
7838,
8188,
8199,
8036,
9261,
8618,
7906,
15877,
18390,
7809,
8017,
8448,
8101,
8056,
8155,
7969,
8026,
7985,
7795,
8081,
7935,
7930,
7956,
7929,
7830,
8149,
8196,
7836,
7867,
7956,
7824,
7972,
7919,
7808,
8076,
7832,
8044,
7915,
7797,
7902,
7942,
8050,
7847,
8069,
7871,
7996,
8003,
7813,
8112,
7851,
8003,
7833,
8185,
7998,
7862,
8107,
8027,
7864,
7860,
7987,
7820,
8080,
7803,
7981,
8051,
7821,
7883,
8017,
7899,
7934,
7932,
7917,
7926,
7909,
7874,
7845,
8174,
7974,
7993,
8074,
8603,
8905,
8399,
14617,
21869,
18278,
8338,
8193,
8333,
8454,
8352,
8168,
8273,
8317,
8286,
19002,
21903,
22144,
11211,
8396,
8346,
8479,
9446,
8357,
8370,
8432,
8429,
8478,
8925,
22382,
22072,
13803,
8388,
8487,
8380,
8208,
8271,
8435,
8204,
7936,
8128,
7874,
8094,
8274,
8401,
12726,
22249,
12497,
7954,
7976,
7974,
8276,
8109,
8197,
7925,
7886,
8137,
7950,
7893,
8062,
8083,
9240,
7952,
7995,
8026,
8339,
8243,
8485,
16719,
21764,
12937,
7993,
8182,
8257,
8192,
8160,
8087,
8593,
8280,
8015,
8042,
8175,
8086,
8634,
8259,
8193,
8438,
8054,
8219,
8338,
8319,
18261,
20756,
12404,
8449,
8169,
4263236,
,"> db.stats()
{
	""db"" : ""images"",
	""collections"" : 3,
	""objects"" : 8508,
	""avgObjSize"" : 490.9534555712271,
	""dataSize"" : 4177032,
	""storageSize"" : 4890624,
	""numExtents"" : 7,
	""indexes"" : 2,
	""indexSize"" : 1618848,
	""fileSize"" : 201326592,
	""nsSizeMB"" : 16,
	""dataFileVersion"" : {
		""major"" : 4,
		""minor"" : 5
	},
	""ok"" : 1
}
> use containers
switched to db containers 
> db.stats()
{
	""db"" : ""containers"",
	""collections"" : 4,
	""objects"" : 100011,
	""avgObjSize"" : 229998.48076711563,
	""dataSize"" : 23002378060,
	""storageSize"" : 23690768256,
	""numExtents"" : 37,
	""indexes"" : 4,
	""indexSize"" : 7832608,
	""fileSize"" : 27837595648,
	""nsSizeMB"" : 16,
	""dataFileVersion"" : {
		""major"" : 4,
		""minor"" : 5
	},
	""ok"" : 1
}
"
