,
32716,
33599,
35471,
33039,
26173,
27711,
35714,
29487,
25534,
21661,
19110,
19195,
19063,
18508,
18582,
14879,
3,
2,
12928,
19022,
18544,
18392,
18259,
21129,
19349,
18887,
18553,
18318,
18440,
18229,
18325,
18097,
18182,
17922,
18117,
17560,
16981,
16799,
16883,
16979,
16543,
16864,
16764,
16854,
16951,
16720,
16987,
16566,
16505,
16795,
16859,
16724,
16847,
16207,
16510,
16597,
16137,
16116,
16649,
16489,
16128,
16050,
16094,
16232,
16253,
16480,
16680,
16411,
16261,
16633,
15943,
16140,
15936,
16105,
15999,
16350,
16672,
16606,
16479,
16450,
16820,
16053,
15927,
16110,
16728,
16677,
15981,
16335,
16730,
16836,
16667,
16609,
16264,
16514,
16688,
16620,
16643,
15931,
16570,
16667,
16688,
16692,
16631,
16527,
16922,
16745,
16936,
16271,
16666,
16744,
16451,
16606,
16742,
16700,
16898,
16302,
16807,
16202,
16698,
16913,
16687,
16569,
16784,
16802,
16688,
16828,
16458,
16686,
16815,
16891,
16588,
16680,
16554,
16719,
16527,
16525,
16771,
16892,
16750,
16788,
17150,
17406,
16377,
16646,
16586,
16854,
16711,
16987,
16785,
16825,
16721,
16800,
16750,
16294,
16837,
16879,
16873,
17010,
16641,
16956,
16687,
16772,
16920,
16788,
16759,
16741,
16407,
16849,
16773,
16822,
16774,
17208,
18364,
16915,
16735,
16821,
16745,
16733,
16760,
16546,
16361,
18477,
16856,
16810,
19114,
20981,
16883,
16794,
16720,
16930,
17086,
17267,
16941,
17398,
17335,
17998,
17896,
17353,
16763,
16732,
18740,
24873,
28811,
24035,
20360,
22289,
20716,
22657,
20863,
21019,
18913,
19337,
20209,
18198,
17802,
17644,
17625,
17392,
19442,
18295,
21601,
19642,
18602,
19244,
22030,
24736,
21067,
20672,
22266,
27548,
23536,
23121,
21579,
21571,
22014,
18137,
18248,
17049,
19610,
21365,
18941,
20878,
17152,
17071,
16701,
16781,
16882,
16773,
16747,
4491848,
,"	""db"" : ""containers"",
	""collections"" : 4,
	""objects"" : 202961,
	""avgObjSize"" : 192699.33118185267,
	""dataSize"" : 39110448956,
	""storageSize"" : 40870571776,
	""numExtents"" : 46,
	""indexes"" : 4,
	""indexSize"" : 16801680,
	""fileSize"" : 45009076224,
	""nsSizeMB"" : 16,
	""dataFileVersion"" : {
		""major"" : 4,
		""minor"" : 5
	},
	""ok"" : 1
"
